"question_id","case_id","image_id","image_path","primary_type","subtype","difficulty","question_en","question_zh","answer","answer_type"
"qa_v7c_000001","img_0208","test500__d1_309_png.rf.afb52851067e1c0aa9cc92104fb60ea9","images/img_0208.jpg","connectivity","terminal_same_node","medium","Do the left terminal of the inductor in the diagram and the upper terminal of the capacitor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电感的左端与图中的电容的上端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","否","yes_no"
"qa_v7c_000002","img_0208","test500__d1_309_png.rf.afb52851067e1c0aa9cc92104fb60ea9","images/img_0208.jpg","connectivity","terminal_same_node","medium","Do the right terminal of the resistor in the diagram and the upper terminal of the capacitor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电阻的右端与图中的电容的上端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","是","yes_no"
"qa_v7c_000003","img_0318","test500__d1_310_png.rf.dc8f3a60bf4e73925fb5238b4af6f3e3","images/img_0318.jpg","connectivity","terminal_same_node","medium","Do the left terminal of the capacitor in the diagram and the lower terminal of the voltage source in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电容的左端与图中的电压源的下端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","是","yes_no"
"qa_v7c_000004","img_0318","test500__d1_310_png.rf.dc8f3a60bf4e73925fb5238b4af6f3e3","images/img_0318.jpg","connectivity","terminal_same_node","medium","Do the lower terminal of the resistor in the diagram and the upper terminal of the voltage source in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电阻的下端与图中的电压源的上端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","否","yes_no"
"qa_v7c_000005","img_0384","test500__d1_325_png.rf.31dc60fd6d045420fa8a5dc06a695239","images/img_0384.jpg","connectivity","terminal_same_node","medium","Do the left terminal of the capacitor in the diagram and the right terminal of the inductor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电容的左端与图中的电感的右端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","是","yes_no"
"qa_v7c_000006","img_0384","test500__d1_325_png.rf.31dc60fd6d045420fa8a5dc06a695239","images/img_0384.jpg","connectivity","terminal_same_node","medium","Do the left terminal of the resistor in the diagram and the right terminal of the inductor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电阻的左端与图中的电感的右端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","否","yes_no"
"qa_v7c_000007","img_0368","test500__d1_336_png.rf.80126fdcd5d8f916c1c0e831a78755d7","images/img_0368.jpg","connectivity","terminal_same_node","medium","Do the upper terminal of the capacitor in the diagram and the upper terminal of the voltage source in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电容的上端与图中的电压源的上端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","是","yes_no"
"qa_v7c_000008","img_0368","test500__d1_336_png.rf.80126fdcd5d8f916c1c0e831a78755d7","images/img_0368.jpg","connectivity","terminal_same_node","medium","Do the upper terminal of the capacitor in the diagram and the upper terminal of the inductor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电容的上端与图中的电感的上端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","否","yes_no"
"qa_v7c_000009","img_0370","test500__d1_348_png.rf.6ba2566557f52d926f270829cce5d691","images/img_0370.jpg","connectivity","terminal_same_node","medium","Do the lower terminal of the capacitor in the diagram and the lower terminal of the inductor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电容的下端与图中的电感的下端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","是","yes_no"
"qa_v7c_000010","img_0370","test500__d1_348_png.rf.6ba2566557f52d926f270829cce5d691","images/img_0370.jpg","connectivity","terminal_same_node","medium","Do the lower terminal of the resistor in the diagram and the upper terminal of the capacitor in the diagram belong to the same electrical node, connected by continuous ideal wire without passing through a component?","图中的电阻的下端与图中的电容的上端是否属于同一个电气节点（可由连续理想导线相连，且中间不经过元件）？","否","yes_no"
